Construction Labor;Interest;Oil;CPI;Gold;Inflation;Steel Iron Index;Total Economy Productivity
107.2;4;2.89;30.6;35.09;1.32;39.417;74.04
108.5;4.125;2.88;31;35.1;1.31;46.983;76.63
109.7;4.375;2.86;31.5;35.12;1.61;48.342;79.24
112.4;5;2.88;32.5;35.13;2.86;45.767;81.68
115.8;5.625;2.92;33.4;34.95;3.09;42.950;82.54
121.0;5.625;2.94;34.8;39.31;4.19;39.900;85.39
128.3;7.25;3.09;36.7;41.28;5.46;47.525;86.09
137.3;6.125;3.18;38.8;36.02;5.72;59.558;87.7
146.2;5.875;3.39;40.5;40.62;4.38;49.133;91.59
152.2;6;3.39;41.8;58.42;3.21;52.283;95.29
157.9;6.625;3.89;44.4;97.39;6.22;80.733;96.86
163.3;7.375;6.87;49.3;154;11.04;151.642;94.2
168.6;7.675;7.67;53.8;160.86;9.13;105.442;96.83
174.2;6.5;8.19;56.9;124.74;5.76;111.158;99.27
178.2;7.375;8.57;60.6;147.84;6.5;99.233;100.13
185.9;8.625;9;65.2;193.4;7.59;113.617;101.27
194.9;10;12.64;72.6;306;11.35;146.800;100
204.3;12.125;21.59;82.4;615;13.5;140.858;97.34
242.4;12.5;31.77;90.9;460;10.32;140.550;99.08
263.9;10.75;28.52;96.5;376;6.16;99.992;98.22
267.6;11.5;26.19;99.6;424;3.21;107.367;101.22
264.5;11.5;25.88;103.9;361;4.32;123.717;103.66
265.3;9.75;24.09;107.6;317;3.56;112.608;105.31
263.0;7.375;12.51;109.6;368;1.86;109.625;107.8
262.6;9;15.4;113.6;447;3.65;128.408;107.16
265.6;9.125;12.58;118.3;437;4.14;177.142;108.68
270.4;8;15.86;124;381;4.82;173.717;109.43
271.4;8.375;20.03;130.7;383.51;5.4;166.033;109.81
274.8;7.375;16.54;136.2;362.11;4.21;147.625;110.51
273.0;7;15.99;140.3;343.82;3.01;139.158;114.82
270.9;5.875;14.25;144.5;359.77;2.99;172.525;115.31
272.9;8;13.19;148.2;384;2.56;192.900;116.37
274.3;6;14.62;152.4;383.79;2.83;202.675;116.47
277.5;6.25;18.46;156.9;387.81;2.95;191.067;117.94
281.9;6.125;17.23;160.5;331.02;2.29;188.875;119.78
287.4;5.125;10.87;163;294.24;1.56;165.025;122.25
292.5;6.375;15.56;166.6;278.98;2.21;139.217;124.88
299.2;6.8;26.72;172.2;279.11;3.36;142.142;126.39
302.3;4.6;21.84;177.1;271.04;2.85;120.008;127.91
305.8;3.1;22.51;179.9;309.73;1.58;141.358;131.66
309.3;2.1;27.56;184;363.38;2.28;182.558;136.02
307.8;1.6;36.77;188.9;409.72;2.66;323.658;139.73
305.6;3;50.28;195.3;444.74;3.39;289.767;141.84
308.3;4.7;59.69;201.6;603.46;3.23;335.250;142.57
315.1;5.2;66.52;207.3;695.39;2.85;406.767;144.36
319.7;3.1;94.04;215.3;871.96;3.84;566.842;141.78
326.6;2.6;56.35;214.5;972.35;0.36;338.125;146.96
327.8;2;74.71;218.1;1224.53;1.64;541.117;151.06
325.8;1.1;95.73;224.9;1571.52;3.15;646.833;149.6
321.3;1.4;94.52;229.6;1668.98;2.07;566.025;149.95
321.7;1.5;95.99;233;1411.23;1.46;526.658;151.6
320.4;1.4;87.39;236.7;1266.4;1.62;543.100;152.12
318.4;2.2;44.39;237;1160.6;0.12;342.775;154.42
319.6;2.5;38.29;240;1250.74;1.26;328.508;154.57
323.1;2.2;48.05;245.1;1257.12;2.13;440.375;155.59
332.3;2.5;61.4;251.1;1268.49;2.49;523.517;157.21
335.6;3.4;55.59;255.7;1392.6;1.76;413.350;159.2
332.6;2.3;36.86;258.8;1769.64;1.23;406.558;161.8
344;0.9;65.84;271;1798.61;4.7;689.683;164
